127.0.0.1 - - [19/Mar/2024:13:58:04 +0900] "GET / HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:00:44 +0900] "GET /member/login HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:00:45 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:00:53 +0900] "POST /member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:00:54 +0900] "GET /book/list HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:00:54 +0900] "GET /resources/js/book/bookList.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:00:54 +0900] "POST /book/list.do HTTP/1.1" 200 3522
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:01:09 +0900] "GET /book/detail?book_code=24 HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:01:09 +0900] "GET /book/display?fileName=2024%5C03%5C12%2Fce3f541f-33ad-49d9-8dcf-56014334d161_background.PNG HTTP/1.1" 200 953765
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:01:09 +0900] "GET /resources/js/book/bookDetail.js HTTP/1.1" 200 6177
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:01:24 +0900] "GET /member/login HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:01:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:01:27 +0900] "POST /member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:01:27 +0900] "GET /book/list HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:01:27 +0900] "GET /resources/js/book/bookList.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:01:28 +0900] "POST /book/list.do HTTP/1.1" 200 3522
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:03:46 +0900] "GET /book/list HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:03:47 +0900] "POST /book/list.do HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:03:47 +0900] "GET /book/display?fileName=2024%5C03%5C08%2Fa1bb0c35-446f-4e02-a326-3938ba7bd38d_dog.png HTTP/1.1" 200 253202
